"uv_GPS_Merge_val_ID","Collar_ID","Object_ID","PubName","GMT_date","LMT_date","Longitude","Latitude","Height","Locale_N","Locale_E","Locale_H","DOP","Nav","Sats_used","Validated","Main","Bkup","Temp","Valid_pos","Sex"
406245,"02310","W0626","Koski (2310)",30-8-2007 13:31:10,30-8-2007 14:31:10,14.69,61.44,536.80,6815233.71,1440612.70,504.39,3.40,"3D",5,"Yes",3.54,3.62,24.00,2,"F"
406246,"02310","W0626","Koski (2310)",30-8-2007 14:00:47,30-8-2007 15:00:47,14.69,61.44,535.86,6815241.79,1440731.08,503.46,4.80,"3D",5,"Yes",3.54,3.62,25.00,2,"F"
406247,"02310","W0626","Koski (2310)",30-8-2007 14:30:52,30-8-2007 15:30:52,14.69,61.44,533.50,6815072.99,1440945.85,501.11,2.60,"3D",7,"Yes",3.56,3.64,24.00,2,"F"
406248,"02310","W0626","Koski (2310)",30-8-2007 15:00:48,30-8-2007 16:00:48,14.69,61.44,505.35,6815062.13,1440935.27,472.96,5.60,"3D",5,"Yes",3.56,3.64,20.00,2,"F"
406250,"02310","W0626","Koski (2310)",30-8-2007 16:02:35,30-8-2007 17:02:35,14.72,61.44,533.84,6815120.83,1442294.65,501.50,3.60,"3D",6,"Yes",3.54,3.62,23.00,2,"F"
406251,"02310","W0626","Koski (2310)",30-8-2007 16:31:28,30-8-2007 17:31:28,14.72,61.44,551.30,6814905.55,1442365.62,518.96,5.00,"3D",6,"Yes",3.54,3.62,21.00,2,"F"
406252,"02310","W0626","Koski (2310)",30-8-2007 17:00:53,30-8-2007 18:00:53,14.72,61.44,552.39,6814919.69,1442401.18,520.06,2.40,"3D",5,"Yes",3.54,3.62,20.00,2,"F"
406254,"02310","W0626","Koski (2310)",30-8-2007 18:01:15,30-8-2007 19:01:15,14.74,61.45,551.10,6815513.49,1443465.42,518.80,3.80,"3D",5,"Yes",3.54,3.62,20.00,2,"F"
406255,"02310","W0626","Koski (2310)",30-8-2007 18:32:52,30-8-2007 19:32:52,14.75,61.45,551.03,6815920.60,1443919.49,518.75,12.00,"3D",4,"No",3.52,3.62,21.00,2,"F"
406256,"02310","W0626","Koski (2310)",30-8-2007 19:02:15,30-8-2007 20:02:15,14.76,61.45,549.40,6816047.10,1444308.21,517.13,4.40,"2D",3,"No",3.50,3.60,21.00,2,"F"
406257,"02310","W0626","Koski (2310)",30-8-2007 19:31:28,30-8-2007 20:31:28,14.75,61.44,554.20,6815028.49,1444118.95,521.93,5.40,"3D",4,"No",3.52,3.62,20.00,2,"F"
406258,"02310","W0626","Koski (2310)",30-8-2007 20:00:41,30-8-2007 21:00:41,14.77,61.44,573.56,6814970.62,1444859.92,541.33,3.00,"3D",6,"Yes",3.52,3.62,20.00,2,"F"
406259,"02310","W0626","Koski (2310)",30-8-2007 20:31:38,30-8-2007 21:31:38,14.78,61.44,573.17,6815063.55,1445781.00,540.98,2.20,"2D",3,"No",3.50,3.60,20.00,2,"F"
406260,"02310","W0626","Koski (2310)",30-8-2007 21:01:39,30-8-2007 22:01:39,14.78,61.44,572.69,6815080.82,1445804.03,540.50,2.00,"2D",3,"No",3.54,3.62,19.00,2,"F"
406261,"02310","W0626","Koski (2310)",30-8-2007 21:31:14,30-8-2007 22:31:14,14.78,61.44,576.00,6815055.99,1445798.49,543.81,3.80,"3D",6,"Yes",3.54,3.62,15.00,2,"F"
406262,"02310","W0626","Koski (2310)",30-8-2007 22:01:05,30-8-2007 23:01:05,14.78,61.44,572.41,6815087.35,1445820.22,540.22,4.80,"2D",3,"No",3.56,3.64,12.00,2,"F"
406263,"02310","W0626","Koski (2310)",30-8-2007 22:31:39,30-8-2007 23:31:39,14.78,61.44,613.27,6815087.65,1445815.12,581.08,5.80,"3D",4,"No",3.58,3.66,14.00,2,"F"
